offense_level,ofense_description
FELONY,ROBBERY
FELONY,FELONY ASSAULT
FELONY,GRAND LARCENY
FELONY,DANGEROUS DRUGS
FELONY,DANGEROUS WEAPONS
FELONY,MISCELLANEOUS PENAL LAW
FELONY,GRAND LARCENY OF MOTOR VEHICLE
FELONY,FORGERY
FELONY,BURGLARY
FELONY,CRIMINAL MISCHIEF & RELATED OF
FELONY,KIDNAPPING & RELATED OFFENSES
FELONY,ARSON
FELONY,POSSESSION OF STOLEN PROPERTY
FELONY,THEFT-FRAUD
FELONY,NYS LAWS-UNCLASSIFIED FELONY
FELONY,OTHER STATE LAWS (NON PENAL LA
FELONY,ENDAN WELFARE INCOMP
FELONY,KIDNAPPING
FELONY,CHILD ABANDONMENT/NON SUPPORT
FELONY,SEX CRIMES
FELONY,GAMBLING
FELONY,PROSTITUTION & RELATED OFFENSES
FELONY,"HOMICIDE-NEGLIGENT,UNCLASSIFIE"
FELONY,INTOXICATED/IMPAIRED DRIVING
FELONY,NA
FELONY,HOMICIDE-NEGLIGENT-VEHICLE
FELONY,ABORTION
FELONY,KIDNAPPING AND RELATED OFFENSES
MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES
MISDEMEANOR,INTOXICATED & IMPAIRED DRIVING
MISDEMEANOR,DANGEROUS DRUGS
MISDEMEANOR,PETIT LARCENY
MISDEMEANOR,VEHICLE AND TRAFFIC LAWS
MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF
MISDEMEANOR,DANGEROUS WEAPONS
MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &
MISDEMEANOR,OFFENSES AGAINST PUBLIC ADMINI
MISDEMEANOR,CRIMINAL TRESPASS
MISDEMEANOR,ADMINISTRATIVE CODE
MISDEMEANOR,OFFENSES INVOLVING FRAUD
MISDEMEANOR,OTHER STATE LAWS (NON PENAL LA
MISDEMEANOR,OFFENSES AGAINST THE PERSON
MISDEMEANOR,OTHER OFFENSES RELATED TO THEF
MISDEMEANOR,AGRICULTURE & MRKTS LAW-UNCLASSIFIED
MISDEMEANOR,GAMBLING
MISDEMEANOR,FRAUDS
MISDEMEANOR,FRAUDULENT ACCOSTING
MISDEMEANOR,POSSESSION OF STOLEN PROPERTY
MISDEMEANOR,THEFT OF SERVICES
MISDEMEANOR,UNAUTHORIZED USE OF A VEHICLE
MISDEMEANOR,PROSTITUTION & RELATED OFFENSES
MISDEMEANOR,BURGLAR'S TOOLS
MISDEMEANOR,PETIT LARCENY OF MOTOR VEHICLE
MISDEMEANOR,NEW YORK CITY HEALTH CODE
MISDEMEANOR,ALCOHOLIC BEVERAGE CONTROL LAW
MISDEMEANOR,OFFENSES RELATED TO CHILDREN
MISDEMEANOR,JOSTLING
MISDEMEANOR,SEX CRIMES
MISDEMEANOR,ENDAN WELFARE INCOMP
MISDEMEANOR,OFFENSES AGAINST PUBLIC SAFETY
MISDEMEANOR,OTHER STATE LAWS (NON PENAL LAW)
MISDEMEANOR,ESCAPE 3
MISDEMEANOR,ANTICIPATORY OFFENSES
MISDEMEANOR,DISRUPTION OF A RELIGIOUS SERV
MISDEMEANOR,NA
MISDEMEANOR,LOITERING FOR DRUG PURPOSES
MISDEMEANOR,OFFENSES AGAINST MARRIAGE UNCL
MISDEMEANOR,FORTUNE TELLING
VIOLATION,HARRASSMENT 2
VIOLATION,"LOITERING/GAMBLING (CARDS, DIC"
VIOLATION,MISCELLANEOUS PENAL LAW
VIOLATION,DISORDERLY CONDUCT
VIOLATION,ADMINISTRATIVE CODE
VIOLATION,NYS LAWS-UNCLASSIFIED VIOLATION
VIOLATION,OTHER STATE LAWS
VIOLATION,NA
VIOLATION,NEW YORK CITY HEALTH CODE
VIOLATION,ADMINISTRATIVE CODES
VIOLATION,LOITERING
VIOLATION,UNDER THE INFLUENCE OF DRUGS
VIOLATION,OTHER TRAFFIC INFRACTION
VIOLATION,UNLAWFUL POSS. WEAP. ON SCHOOL
VIOLATION,LOITERING/DEVIATE SEX
