,station,year(time)
21,Central Park,1943
22,Central Park,1944
46,Central Park,1973
48,Central Park,1974
50,Central Park,1975
52,Central Park,1976
54,Central Park,1977
56,Central Park,1978
58,Central Park,1979
60,Central Park,1980
62,Central Park,1981
64,Central Park,1982
66,Central Park,1983
68,Central Park,1984
70,Central Park,1985
72,Central Park,1986
74,Central Park,1987
76,Central Park,1988
78,Central Park,1989
80,Central Park,1990
82,Central Park,1991
85,Central Park,1992
88,Central Park,1993
90,Central Park,1994
92,Central Park,1995
93,Central Park,1996
94,Central Park,1997
95,Central Park,1998
96,Central Park,1999
97,Central Park,2000
98,Central Park,2001
99,Central Park,2002
100,Central Park,2003
101,Central Park,2004
102,Central Park,2005
103,Central Park,2006
104,Central Park,2007
105,Central Park,2008
106,Central Park,2009
107,Central Park,2010
108,Central Park,2011
109,Central Park,2012
110,Central Park,2013
111,Central Park,2014
112,Central Park,2015
113,Central Park,2016
114,Central Park,2017
83,JFK,1943
86,JFK,1944
115,JFK,1973
116,JFK,1974
117,JFK,1975
118,JFK,1976
119,JFK,1977
120,JFK,1978
121,JFK,1979
122,JFK,1980
123,JFK,1981
124,JFK,1982
125,JFK,1983
126,JFK,1984
127,JFK,1985
128,JFK,1986
129,JFK,1987
130,JFK,1988
131,JFK,1989
132,JFK,1990
133,JFK,1991
134,JFK,1992
135,JFK,1993
136,JFK,1994
137,JFK,1995
138,JFK,1996
0,JFK,1997
1,JFK,1998
2,JFK,1999
3,JFK,2000
4,JFK,2001
5,JFK,2002
6,JFK,2003
7,JFK,2004
8,JFK,2005
9,JFK,2006
10,JFK,2007
11,JFK,2008
12,JFK,2009
13,JFK,2010
14,JFK,2011
15,JFK,2012
16,JFK,2013
17,JFK,2014
18,JFK,2015
19,JFK,2016
20,JFK,2017
23,La Guardia,1973
24,La Guardia,1974
25,La Guardia,1975
26,La Guardia,1976
27,La Guardia,1977
28,La Guardia,1978
29,La Guardia,1979
30,La Guardia,1980
31,La Guardia,1981
32,La Guardia,1982
33,La Guardia,1983
34,La Guardia,1984
35,La Guardia,1985
36,La Guardia,1986
37,La Guardia,1987
38,La Guardia,1988
39,La Guardia,1989
40,La Guardia,1990
41,La Guardia,1991
42,La Guardia,1992
43,La Guardia,1993
44,La Guardia,1994
45,La Guardia,1995
47,La Guardia,1996
49,La Guardia,1997
51,La Guardia,1998
53,La Guardia,1999
55,La Guardia,2000
57,La Guardia,2001
59,La Guardia,2002
61,La Guardia,2003
63,La Guardia,2004
65,La Guardia,2005
67,La Guardia,2006
69,La Guardia,2007
71,La Guardia,2008
73,La Guardia,2009
75,La Guardia,2010
77,La Guardia,2011
79,La Guardia,2012
81,La Guardia,2013
84,La Guardia,2014
87,La Guardia,2015
89,La Guardia,2016
91,La Guardia,2017
