,taxi_zone_id,n_pickups,n_crimes,avg
0,170,4420686,12873,0.003023156633
1,171,1121,11192,0.00262838258654
2,172,38,9263,0.00217536703888
3,173,7346,23967,0.00562852443278
4,174,1188,20533,0.00482206751693
5,175,330,6488,0.00152367282179
6,176,35,4924,0.00115637561259
7,220,2689,16753,0.00393435431311
8,177,3288,27080,0.00635959617973
9,221,207,18238,0.00428309878604
10,178,1940,5770,0.00135505428202
11,222,158,4206,0.00098775707282
12,179,100441,11993,0.00281649324164
13,223,104828,17376,0.00408066260041
14,224,338980,1986,0.000466401699149
15,225,31733,51924,0.0121940794696
16,226,243996,25194,0.00591667895688
17,227,2537,24760,0.00581475632977
18,110,340,31,7.28018765036e-06
19,228,19976,27450,0.00644648874201
20,111,1119,771,0.000181065312207
21,229,2970471,8169,0.00191844686825
22,112,175638,15979,0.00375258446662
23,113,2828322,20353,0.00477979545961
24,114,2230004,12828,0.00301258861867
25,115,81,10794,0.0025349143709
26,50,1530458,8330,0.00195625687508
27,116,122956,30210,0.00709466028766
28,51,465,18284,0.00429390164513
29,117,105,25463,0.0059798521981
30,52,97540,2563,0.000601907127351
31,118,98,13135,0.00308468596089
32,53,1099,7521,0.00176626746188
33,119,2394,15385,0.00361308667744
34,54,13924,2435,0.000571846997698
35,55,980,32935,0.0077346122666
36,56,4152,14962,0.00351374734273
37,58,42,1753,0.00041168286939
38,59,76,2548,0.000598384455907
39,180,1273,10074,0.0023658261416
40,181,204206,22211,0.0052161370291
41,182,1081,9338,0.0021929803961
42,183,171,4594,0.00107887684083
43,184,550,1413,0.000331835649999
44,185,811,14655,0.00344165000052
45,186,3265207,12073,0.00283528082267
46,230,4034758,25641,0.0060216545659
47,187,44,12570,0.00295199866984
48,231,2438377,16205,0.00380565938303
49,188,20292,43774,0.0102800946518
50,232,307065,24094,0.00565834971767
51,189,78667,7701,0.00180853951921
52,233,1828223,4859,0.001141110703
53,234,4855175,24076,0.00565412251194
54,235,2355,30678,0.0072045676367
55,236,4365993,12138,0.00285054573226
56,237,5060349,11615,0.00272772192126
57,120,2101,3033,0.000712284165921
58,238,2185865,20767,0.00487702119145
59,121,1035,9951,0.00233694023577
60,239,2762322,15309,0.00359523847546
61,122,159,8398,0.00197222631896
62,123,1715,14917,0.0035031793284
63,124,1253,8365,0.00196447644178
64,3,318,12301,0.00288882542862
65,125,1060800,4392,0.00103143819872
66,4,562463,17249,0.00405083731552
67,60,957,18198,0.00427370499552
68,126,1401,36530,0.00857887918928
69,5,26,5440,0.00127755551026
70,61,64778,84753,0.0199037981913
71,127,12893,16545,0.00388550660243
72,6,325,5754,0.00135129676581
73,62,8842,20791,0.00488265746576
74,128,944,895,0.000210186062809
75,63,1195,22996,0.00540049016799
76,7,303578,34680,0.00814441637789
77,129,72389,46864,0.0110057649692
