,taxi_zone_id,n_pickups,n_Short_Trips,n_Long_Trips,n_crimes,Percentage_Short_Trips,Percentage_Long_Trips,Percentage_Crime
0,170,4420686,2850658,1511657,12873,64.4845166565,34.1950774156,0.3023156633
1,171,1121,477,636,11192,42.551293488,56.7350579839,0.262838258654
2,172,38,15,23,9263,39.4736842105,60.5263157895,0.217536703888
3,173,7346,3593,3646,23967,48.9109719575,49.6324530357,0.562852443278
4,174,1188,490,683,20533,41.2457912458,57.4915824916,0.482206751693
5,175,330,131,192,6488,39.696969697,58.1818181818,0.152367282179
6,176,35,18,16,4924,51.4285714286,45.7142857143,0.115637561259
7,220,2689,1282,1385,16753,47.6757158795,51.5061361101,0.393435431311
8,177,3288,1193,2060,27080,36.2834549878,62.6520681265,0.635959617973
9,221,207,82,122,18238,39.61352657,58.9371980676,0.428309878604
10,178,1940,985,925,5770,50.7731958763,47.6804123711,0.135505428202
11,222,158,46,110,4206,29.1139240506,69.6202531646,0.098775707282
12,179,100441,41552,58149,11993,41.3695602393,57.8936888322,0.281649324164
13,223,104828,47008,57178,17376,44.842980883,54.544587324,0.408066260041
14,224,338980,181821,151277,1986,53.6376777391,44.627116644,0.0466401699149
15,225,31733,14138,17165,51924,44.552989002,54.0919547474,1.21940794696
16,226,243996,78540,163263,25194,32.1890522795,66.9121624945,0.591667895688
17,227,2537,976,1537,24760,38.4706346078,60.5833661805,0.581475632977
18,110,340,197,139,31,57.9411764706,40.8823529412,0.000728018765036
19,228,19976,6806,12943,27450,34.0708850621,64.7927513016,0.644648874201
20,111,1119,479,625,771,42.8060768543,55.8534405719,0.0181065312207
21,229,2970471,1816631,1106455,8169,61.1563284072,37.2484700238,0.191844686825
22,112,175638,71993,102301,15979,40.9894214236,58.2453683144,0.375258446662
23,113,2828322,1777816,1013159,20353,62.8576237076,35.8219113665,0.477979545961
24,114,2230004,1192081,1008090,12828,53.4564511992,45.2057485099,0.301258861867
25,115,81,30,50,10794,37.037037037,61.7283950617,0.25349143709
26,50,1530458,855842,653953,8330,55.9206459766,42.7292353008,0.195625687508
27,116,122956,51351,70109,30210,41.7637203552,57.0195842415,0.709466028766
28,51,465,151,312,18284,32.4731182796,67.0967741935,0.429390164513
29,117,105,46,58,25463,43.8095238095,55.2380952381,0.59798521981
30,52,97540,32216,64771,2563,33.0285011277,66.4045519787,0.0601907127351
31,118,98,47,48,13135,47.9591836735,48.9795918367,0.308468596089
32,53,1099,390,690,7521,35.4868061874,62.7843494086,0.176626746188
33,119,2394,1030,1345,15385,43.0242272348,56.1821219716,0.361308667744
34,54,13924,4750,9073,2435,34.1137604137,65.1608733123,0.0571846997698
35,55,980,394,573,32935,40.2040816327,58.4693877551,0.77346122666
36,56,4152,1434,2682,14962,34.5375722543,64.5953757225,0.351374734273
37,58,42,12,30,1753,28.5714285714,71.4285714286,0.041168286939
38,59,76,40,35,2548,52.6315789474,46.0526315789,0.0598384455907
39,180,1273,367,900,10074,28.8295365279,70.6991358995,0.23658261416
40,181,204206,84353,117551,22211,41.3077970285,57.5649099439,0.52161370291
41,182,1081,431,646,9338,39.8704902868,59.7594819611,0.21929803961
42,183,171,45,126,4594,26.3157894737,73.6842105263,0.107887684083
43,184,550,239,306,1413,43.4545454545,55.6363636364,0.0331835649999
44,185,811,293,511,14655,36.1282367448,63.0086313194,0.344165000052
45,186,3265207,2062226,1162950,12073,63.1575884775,35.6164249311,0.283528082267
46,230,4034758,2352954,1637809,25641,58.3171035289,40.5924965016,0.60216545659
47,187,44,20,23,12570,45.4545454545,52.2727272727,0.295199866984
48,231,2438377,1055033,1353810,16205,43.2678375821,55.5209469249,0.380565938303
49,188,20292,7057,12949,43774,34.7772521191,63.8133254485,1.02800946518
50,232,307065,118918,184860,24094,38.7273052937,60.2022373113,0.565834971767
51,189,78667,31816,45876,7701,40.4438964242,58.3167020479,0.180853951921
52,233,1828223,1115302,688662,4859,61.0047023804,37.6683807172,0.1141110703
53,234,4855175,3210010,1583136,24076,66.1152275665,32.6071871766,0.565412251194
54,235,2355,1053,1278,30678,44.7133757962,54.2675159236,0.72045676367
55,236,4365993,2793468,1505933,12138,63.982420494,34.4923365658,0.285054573226
56,237,5060349,3613466,1387261,11615,71.4074464034,27.4143344659,0.272772192126
57,120,2101,886,1197,3033,42.17039505,56.9728700619,0.0712284165921
58,238,2185865,1255529,901316,20767,57.4385426364,41.2338364904,0.487702119145
59,121,1035,373,647,9951,36.038647343,62.5120772947,0.233694023577
60,239,2762322,1623887,1088448,15309,58.7870277252,39.4033715114,0.359523847546
61,122,159,65,90,8398,40.8805031447,56.6037735849,0.197222631896
62,123,1715,827,869,14917,48.221574344,50.6705539359,0.35031793284
63,124,1253,377,868,8365,30.0877893057,69.2737430168,0.196447644178
64,3,318,115,203,12301,36.1635220126,63.8364779874,0.288882542862
65,125,1060800,554232,492161,4392,52.2466063348,46.3952677225,0.103143819872
66,4,562463,263749,291826,17249,46.8917955492,51.8835905651,0.405083731552
67,60,957,395,560,18198,41.2748171369,58.5161964472,0.427370499552
68,126,1401,590,794,36530,42.1127765882,56.6738044254,0.857887918928
69,5,26,15,11,5440,57.6923076923,42.3076923077,0.127755551026
70,61,64778,24466,39579,84753,37.7689956467,61.0994473432,1.99037981913
71,127,12893,4798,8000,16545,37.2139920887,62.0491739704,0.388550660243
72,6,325,135,189,5754,41.5384615385,58.1538461538,0.135129676581
73,62,8842,3201,5521,20791,36.2022166931,62.4406242931,0.488265746576
74,128,944,432,502,895,45.7627118644,53.1779661017,0.0210186062809
75,63,1195,402,784,22996,33.640167364,65.6066945607,0.540049016799
76,7,303578,132959,168396,34680,43.7973107406,55.4704227579,0.814441637789
77,129,72389,32629,39002,46864,45.0745278979,53.8783516833,1.10057649692
78,64,610,259,345,6890,42.4590163934,56.5573770492,0.161808041648
79,8,2979,883,2066,325,29.6408190668,69.3521315878,0.00763245479473
80,65,258854,70294,185728,16505,27.1558484706,71.7500985111,0.387611281191
81,9,316,101,214,6199,31.9620253165,67.7215189873,0.145580268531
82,66,78734,17441,60381,6725,22.1518022709,76.6898671476,0.15793310306
83,67,1302,552,736,10945,42.3963133641,56.5284178187,0.25703759301
84,68,3642337,2136424,1452329,23172,58.6553083913,39.8735482192,0.544182284626
85,69,5250,2497,2690,32004,47.5619047619,51.2380952381,0.751597179233
86,190,13539,4538,8821,4380,33.5179850801,65.1525223429,0.102862006157
87,191,1121,464,651,17935,41.3916146298,58.0731489741,0.421194082288
88,192,1613,512,1093,5809,31.7420954743,67.7619342839,0.136421322777
89,193,85261,36154,48677,9578,42.4039126916,57.0917535567,0.22493431392
90,194,7446,1997,5388,3449,26.8197690035,72.3609991942,0.0809979587293
91,195,16932,3716,13054,11437,21.9466099693,77.0966217812,0.268591955346
92,196,14000,4195,9659,10889,29.9642857143,68.9928571429,0.255722462338
93,240,885,363,513,4754,41.0169491525,57.9661016949,0.11164520029
94,197,6574,1951,4593,31864,29.6775174932,69.8661393368,0.748309352552
95,241,1108,507,586,21099,45.7581227437,52.8880866426,0.495498965274
96,198,6671,2665,3938,35445,39.9490331285,59.0316294409,0.832407262152
97,242,1291,541,740,19285,41.9054996127,57.3199070488,0.452898125281
98,199,250,115,131,8186,46.0,52.4,0.192243922922
99,243,32047,12125,19735,26341,37.8350547633,61.5814272787,0.618604589994
100,244,112607,36879,74946,33456,32.7501842692,66.5553651194,0.785696638808
101,245,34,12,22,8670,35.2941176471,64.7058823529,0.203610409447
102,246,2204546,1220203,949188,7820,55.3494007383,43.0559398624,0.183648604599
103,247,11424,5271,6058,23304,46.1397058824,53.0287114846,0.547282235497
104,130,9066,1893,7126,42196,20.8802117803,78.6013677476,0.990950961595
105,248,715,271,439,15963,37.9020979021,61.3986013986,0.374882695041
106,131,1158,484,660,8866,41.7962003454,56.9948186528,0.2082133668
107,249,2546927,1483691,1027684,15674,58.2541627616,40.3499589898,0.368095681393
108,132,2263997,47739,2215242,1225,2.10861586831,97.8465077471,0.0287684834571
109,133,9857,3517,6226,11119,35.6802272497,63.1632342498,0.261123891885
110,134,8030,2466,5509,6672,30.7098381071,68.6052303861,0.156688425817
111,135,2830,1202,1604,11449,42.4734982332,56.6784452297,0.268873769061
112,70,31707,3513,28095,10413,11.0795723342,88.6081937742,0.244543851623
113,136,1553,689,855,18687,44.3657437218,55.0547327753,0.438854408459
114,71,1317,470,832,24285,35.6871678056,63.1738800304,0.570320506739
115,137,1883923,1211304,645274,10251,64.2968953614,34.2516121943,0.240739366464
116,72,1462,537,903,30462,36.730506156,61.7647058824,0.715384116791
117,138,2810237,54713,2753571,763,1.94691764431,97.9835864377,0.0179186554104
118,73,393,154,233,5467,39.1857506361,59.2875318066,0.128389631886
119,139,355,72,283,8943,20.2816901408,79.7183098592,0.210021671475
120,74,417633,219570,193336,59036,52.5748683653,46.2932766328,1.38642954234
121,75,769237,414340,345459,36838,53.8637637035,44.9093062346,0.865121137626
122,76,3153,1028,2096,72210,32.6038693308,66.4763717095,1.69581403301
123,77,731,298,430,24499,40.7660738714,58.8235294118,0.575346184665
124,78,967,397,553,31976,41.0548086867,57.1871768356,0.750939613896
125,79,4277340,2242114,1980226,24492,52.4184189239,46.2957351999,0.575181793331
126,10,10866,919,9922,18261,8.4575740843,91.3123504509,0.428850021559
127,11,806,282,520,11176,34.9875930521,64.5161290323,0.262462507034
128,12,134154,34987,98277,914,26.0797292664,73.2568540632,0.0214648113304
129,13,1149980,353390,786180,2805,30.7300996539,68.3646672116,0.0658739559976
130,14,7526,2890,4573,30701,38.4002125963,60.7626893436,0.720996906625
131,250,1905,849,1035,13178,44.5669291339,54.3307086614,0.309478428569
132,15,256,96,154,3457,37.5,60.15625,0.0811858345397
133,251,88,44,41,7272,50.0,46.5909090909,0.170779111592
134,16,687,214,468,13506,31.1499272198,68.1222707424,0.317181336793
135,252,746,241,502,8766,32.3056300268,67.2922252011,0.205864919171
136,17,72580,31649,39855,42814,43.6056764949,54.9118214384,1.00546436794
137,253,416,146,267,763,35.0961538462,64.1826923077,0.0179186554104
138,18,1211,566,633,27695,46.7382328654,52.2708505367,0.650402570893
139,254,547,226,317,26927,41.3162705667,57.9524680073,0.632366493101
140,19,1269,673,588,6370,53.0338849488,46.3356973995,0.149596113977
141,255,427261,148494,276216,12241,34.7548688038,64.6480722556,0.287473474284
142,256,331397,114463,212408,16570,34.539540189,64.0947262649,0.38913777215
143,257,6803,2065,4657,5203,30.3542554755,68.4550933412,0.122189730145
144,140,2157669,1128858,998020,6458,52.3184047229,46.2545459938,0.15166274789
145,258,2220,624,1585,23735,28.1081081081,71.3963963964,0.557404044778
146,141,3245174,1990684,1211701,13279,61.3429048797,37.3385525707,0.311850360675
147,259,1351,594,741,16710,43.9674315322,54.8482605477,0.392425598831
148,142,4353804,2681647,1600188,18776,61.5931952839,36.7537904784,0.440944526849
149,143,1374258,813188,538526,7049,59.1728772909,39.1866738269,0.165542073379
150,144,1787062,846768,918843,17180,47.3832469159,51.4164030123,0.403463302688
151,145,200057,64452,133056,9726,32.2168182068,66.5090449222,0.228410016411
152,80,163608,68886,93219,24134,42.1042980783,56.9770426874,0.566774350819
153,146,169676,58829,108590,7380,34.6713736769,63.9984440934,0.173315435031
154,81,442,181,254,14625,40.9502262443,57.4660633484,0.343460465763
155,147,832,320,503,21403,38.4615384615,60.4567307692,0.502638246067
156,82,52468,25367,26573,38310,48.3475642296,50.646108104,0.899690286727
157,148,2212418,887804,1297376,20377,40.1282217013,58.6406366247,0.478543173392
158,83,27799,11947,15601,10078,42.9763660563,56.120723767,0.236676552066
159,149,897,386,497,13266,43.0323299889,55.4069119287,0.311545062483
160,84,148,83,62,8116,56.0810810811,41.8918918919,0.190600009582
161,85,3680,1367,2276,25724,37.1467391304,61.847826087,0.604114668122
162,86,714,351,351,30208,49.1596638655,49.1596638655,0.709419059813
163,87,1206811,306433,891219,8823,25.3919627846,73.8490948458,0.20720353432
164,88,378537,79580,296897,3318,21.0230439825,78.4327555827,0.0779214923351
165,89,19793,6279,13320,51388,31.7233365331,67.2965189714,1.20682026767
166,20,938,376,550,20201,40.0852878465,58.6353944563,0.474409905564
167,21,1071,467,597,18091,43.60410831,55.7422969188,0.424857660589
168,22,1957,850,1086,23755,43.4338272867,55.4931016863,0.557873734304
169,23,233,92,140,12123,39.4849785408,60.0858369099,0.284702306082
170,24,412255,203421,203283,7787,49.3434888601,49.3100144328,0.182873616882
171,260,75110,32623,41705,16971,43.433630675,55.5252296632,0.398555047143
172,25,211835,82908,126899,24593,39.1380083556,59.9046427644,0.577553725436
173,261,615538,181960,428509,8851,29.5611318879,69.6153608713,0.207861099656
174,26,2350,1027,1297,22957,43.7021276596,55.1914893617,0.539133122224
175,262,1702852,832184,849416,6837,48.8700133658,49.8819627308,0.160563364405
176,263,2230558,1177902,1024429,12313,52.8075037726,45.9270281248,0.289164356577
177,27,962,529,418,809,54.9896049896,43.4511434511,0.0189989413198
178,28,9739,3186,6499,13790,32.7138309888,66.7316972995,0.32385092806
179,29,717,304,408,11974,42.3988842399,56.9037656904,0.281203119114
180,150,474,205,265,6050,43.2489451477,55.9071729958,0.142081081563
181,151,1005766,522271,469695,17244,51.9276849685,46.700226494,0.40496630917
182,152,132522,62958,67848,18214,47.5075836465,51.1975370127,0.427746251173
183,153,1428,704,715,5343,49.299719888,50.0700280112,0.125477556825
184,154,327,129,196,2150,39.4495412844,59.9388379205,0.0504916240267
185,155,786,273,503,18920,34.7328244275,63.9949109415,0.444326291435
186,90,2533959,1692316,805210,14804,66.785453119,31.7767572403,0.347664187019
187,156,190,102,86,18050,53.6842105263,45.2631578947,0.423894797061
188,200,1692,647,1025,7150,38.2387706856,60.5791962175,0.167914005484
189,91,2073,731,1320,30678,35.2629040039,63.6758321274,0.72045676367
190,157,6059,1723,4285,10870,28.4370358145,70.7212411289,0.255276257288
191,201,218,108,107,9527,49.5412844037,49.0825688073,0.223736605629
192,92,13291,5729,7342,29273,43.1043563314,55.2403882326,0.687461074481
193,158,2211732,1196970,978409,10766,54.1191247402,44.237231274,0.252833871754
194,202,14650,5433,9065,1227,37.0853242321,61.8771331058,0.0288154524096
195,93,10839,1803,8986,3692,16.6343758649,82.9043269674,0.0867046864682
196,159,5250,2537,2654,36066,48.3238095238,50.5523809524,0.846991121929
197,203,1399,551,833,9467,39.3852751966,59.5425303788,0.222327537051
198,94,1209,612,592,26093,50.6203473945,48.9660876758,0.612780439874
199,204,17,9,7,6347,52.9411764706,41.1764705882,0.149055971022
200,95,27530,9424,17876,21791,34.2317471849,64.9328005812,0.511750222868
201,205,425,172,244,20886,40.4705882353,57.4117647059,0.490496771824
202,96,691,289,391,3050,41.8234442836,56.5846599132,0.071627652689
203,206,570,311,252,25854,54.5614035088,44.2105263158,0.60716765004
204,97,138671,50317,87045,25586,36.2851641655,62.7708749486,0.600873810394
205,207,3876,2870,990,326,74.0454076367,25.5417956656,0.00765593927102
206,98,678,257,411,5273,37.9056047198,60.6194690265,0.123833643485
207,208,913,357,544,19384,39.1018619934,59.5837897043,0.455223088434
208,99,45,21,23,2444,46.6666666667,51.1111111111,0.0573960600564
209,209,259595,85500,172066,3653,32.9359194129,66.2824784761,0.0857887918928
210,30,42,17,25,1269,40.4761904762,59.5238095238,0.0298018004139
211,31,552,199,350,6052,36.0507246377,63.4057971014,0.142128050516
212,32,608,247,352,16192,40.625,57.8947368421,0.380260640112
213,33,209603,53739,154454,9409,25.638468915,73.6888307896,0.220965437427
214,34,7289,2651,4510,1725,36.3698724105,61.8740567979,0.0405107216028
215,35,1383,519,840,58270,37.5271149675,60.737527115,1.3684404335
216,36,41917,16393,25030,30928,39.1082377079,59.713242837,0.726327882743
217,37,97327,42054,54007,51118,43.2089759265,55.4902545029,1.20047945907
218,38,717,269,443,6232,37.5174337517,61.7852161785,0.146355256249
219,39,1303,510,781,42270,39.1404451266,59.9386032233,0.992688812841
220,160,4076,1170,2874,12916,28.7046123651,70.5103042198,0.303325495781
221,161,5221883,3250547,1905175,16921,62.2485605288,36.4844444044,0.397380823328
222,162,4286417,2645269,1584641,9300,61.7128244872,36.9688950002,0.218405629511
223,163,2913052,1822735,1051412,8930,62.5713169556,36.0931421753,0.209716373283
224,164,3325053,2126543,1161583,16623,63.9551610155,34.9342702207,0.390382449393
225,165,2873,1244,1605,15964,43.2996867386,55.8649495301,0.374906179517
226,166,672039,304092,359992,16860,45.249159647,53.5671292886,0.395948270274
227,210,876,388,479,22672,44.2922374429,54.6803652968,0.53244004648
228,167,1810,914,869,25994,50.4972375691,48.0110497238,0.610455476721
229,211,1449959,742280,689056,14404,51.193171669,47.5224471864,0.338270396503
230,168,25523,11457,13728,45925,44.8889237159,53.7867805509,1.07852457369
231,212,1808,806,979,19990,44.5796460177,54.1482300885,0.469454681067
232,169,2083,963,1089,32101,46.2313970235,52.2803648584,0.753875173433
233,213,1349,564,778,30191,41.8087472202,57.6723498888,0.709019823716
234,214,150,68,80,7586,45.3333333333,53.3333333333,0.178153237147
235,215,3019,330,2683,21673,10.9307717787,88.8704869162,0.508979054665
236,216,15820,1860,13923,34018,11.7572692794,88.0088495575,0.798894914484
237,217,23853,10137,13385,7571,42.497799019,56.1145348593,0.177800970003
238,100,3211828,2067196,1111288,27076,64.3619770424,34.5998602665,0.635865680068
239,218,492,134,353,12331,27.2357723577,71.7479674797,0.28958707715
240,101,3197,1431,1735,4499,44.7607131686,54.269627776,0.105656658835
241,219,4159,515,3635,10370,12.3827843232,87.4008175042,0.243534019143
242,102,2113,718,1359,12435,33.9801230478,64.3161381921,0.292029462685
243,103,6827,3551,3169,9,52.0140618134,46.4186319027,0.000211360286623
244,40,108273,42752,64831,6702,39.4853749319,59.8773470764,0.157392960106
245,106,49280,19177,29584,4663,38.9143668831,60.0324675325,0.109508112947
246,41,362294,194293,164515,39089,53.628544773,45.4092532584,0.917984693758
247,107,3222155,2069389,1113010,12694,64.2237570818,34.5424102813,0.298111942044
248,42,157305,88121,67789,55647,56.0191983726,43.0939893837,1.30684065219
249,108,370,127,237,11725,34.3243243243,64.0540540541,0.275355484518
250,43,1660121,1041880,591938,6652,62.7592807994,35.6563166179,0.156218736291
251,109,29,8,21,9991,27.5862068966,72.4137931034,0.234633402628
252,44,173,83,88,8399,47.9768786127,50.8670520231,0.197246116372
253,45,267221,118699,145706,9262,44.419787367,54.5264032393,0.217513219412
254,46,311,130,175,1636,41.8006430868,56.270096463,0.0384206032129
255,47,1122,551,555,23005,49.1087344029,49.4652406417,0.540260377086
256,48,4249274,2502546,1700046,29356,58.8934956889,40.0079166465,0.689410286013
257,49,88039,35810,51136,19367,40.6751553289,58.0833494247,0.454823852337
