,Location_ID,offense_level,n_pickups,n_crime_severity,n_crimes,Percentage_Crime_Severity
0,170,FELONY,4420686,5607,12873,43.5562805873
1,170,VIOLATION,4420686,1015,12873,7.8847199565
2,170,MISDEMEANOR,4420686,6251,12873,48.5589994562
3,171,VIOLATION,1121,1246,11192,11.1329521086
4,171,MISDEMEANOR,1121,5881,11192,52.5464617584
5,171,FELONY,1121,4065,11192,36.320586133
6,172,MISDEMEANOR,38,5653,9263,61.0277447911
7,172,VIOLATION,38,1613,9263,17.4133650005
8,172,FELONY,38,1997,9263,21.5588902084
9,173,MISDEMEANOR,7346,13275,23967,55.3886594067
10,173,VIOLATION,7346,2307,23967,9.62573538616
11,173,FELONY,7346,8385,23967,34.9856052072
12,174,FELONY,1188,6521,20533,31.7586324453
13,174,MISDEMEANOR,1188,11722,20533,57.0885891005
14,174,VIOLATION,1188,2290,20533,11.1527784542
15,175,VIOLATION,330,890,6488,13.7176325524
16,175,FELONY,330,2519,6488,38.8255240444
17,175,MISDEMEANOR,330,3079,6488,47.4568434032
18,176,VIOLATION,35,935,4924,18.9886271324
19,176,MISDEMEANOR,35,2837,4924,57.6157595451
20,176,FELONY,35,1152,4924,23.3956133225
21,220,VIOLATION,2689,1705,16753,10.1772816809
22,220,MISDEMEANOR,2689,10619,16753,63.3856622694
23,220,FELONY,2689,4429,16753,26.4370560497
24,177,FELONY,3288,9171,27080,33.8663220089
25,177,VIOLATION,3288,3128,27080,11.5509601182
26,177,MISDEMEANOR,3288,14781,27080,54.582717873
27,221,FELONY,207,4369,18238,23.9554775743
28,221,VIOLATION,207,2951,18238,16.1805022481
29,221,MISDEMEANOR,207,10918,18238,59.8640201777
30,178,VIOLATION,1940,729,5770,12.6343154246
31,178,MISDEMEANOR,1940,3004,5770,52.0623916811
32,178,FELONY,1940,2037,5770,35.3032928943
33,222,VIOLATION,158,368,4206,8.74940561103
34,222,MISDEMEANOR,158,2383,4206,56.6571564432
35,222,FELONY,158,1455,4206,34.5934379458
36,179,VIOLATION,100441,1844,11993,15.3756357875
37,179,MISDEMEANOR,100441,6439,11993,53.6896522972
